Descrição do Alimento;Energia(kcal);Proteína(g);Lipídeos(g);Carboidrato(g)
Açaí, polpa, congelada;58,05;0,8;3,94;6,21
Acerola, crua;33,46;0,91;0,21;7,97
Acerola, polpa, congelada;21,94;0,59;0;5,54
Ameixa, calda, enlatada ;182,85;0,41;0;46,89
Ameixa, crua;52,54;0,77;0;13,85
Ameixa, em calda, enlatada, drenada ;177,36;1,03;0,28;47,66
Atemóia, crua;96,97;0,97;0,3;25,33
Banana, da terra, crua;128,02;1,43;0,24;33,67
Banana, doce em barra;280,11;2,17;0,05;75,67
Banana, figo, crua;105,08;1,13;0,14;27,8
Banana, maçã, crua;86,81;1,75;0,06;22,34
Banana, nanica, crua;91,53;1,4;0,12;23,85
Banana, ouro, crua;112,37;1,48;0,21;29,34
Banana, pacova, crua;77,91;1,23;0,08;20,31
Banana, prata, crua;98,25;1,27;0,07;25,96
Cacau, cru;74,29;0,95;0,14;19,41
Cajá-Manga, cru;45,58;1,28;0;11,43
Cajá, polpa, congelada;26,33;0,59;0,17;6,37
Caju, cru;43,07;0,97;0,33;10,29
Caju, polpa, congelada;36,57;0,48;0,15;9,35
Caju, suco concentrado, envasado;45,11;0,4;0,2;10,73
Caqui, chocolate, cru;71,35;0,36;0,07;19,33
Carambola, crua;45,74;0,87;0,18;11,48
Ciriguela, crua;75,59;1,4;0,36;18,86
Cupuaçu, cru;49,42;1,16;0,95;10,43
Cupuaçu, polpa, congelada;48,8;0,84;0,59;11,39
Figo, cru;41,45;0,97;0,16;10,25
Figo, enlatado, em calda;184,36;0,56;0,15;50,34
Fruta-pão, crua;67,05;1,08;0,19;17,17
Goiaba, branca, com casca, crua;51,74;0,9;0,49;12,4
Goiaba, doce em pasta;268,96;0,58;0;74,12
Goiaba, doce, cascão;285,59;0,41;0,1;78,7
Goiaba, vermelha, com casca, crua;54,17;1,09;0,44;13,01
Graviola, crua;61,62;0,85;0,21;15,84
Graviola, polpa, congelada;38,27;0,57;0,14;9,78
Jabuticaba, crua;58,05;0,61;0,13;15,26
Jaca, crua;87,92;1,4;0,27;22,5
Jambo, cru;26,91;0,89;0,07;6,49
Jamelão, cru;41,01;0,55;0,11;10,63
Kiwi, cru;51,14;1,34;0,63;11,5
Laranja, baía, crua;45,44;0,98;0,1;11,47
Laranja, baía, suco;36,65;0,65;0;8,7
Laranja, da terra, crua;51,47;1,08;0,19;12,86
Laranja, da terra, suco;40,96;0,67;0,14;9,57
Laranja, lima, crua;45,7;1,06;0,08;11,53
Laranja, lima, suco;39,34;0,71;0,12;9,17
Laranja, pêra, crua;36,77;1,04;0,13;8,95
Laranja, pêra, suco;32,71;0,74;0,07;7,55
Laranja, valência, crua;46,11;0,77;0,16;11,72
Laranja, valência, suco;36,2;0,48;0,12;8,55
Limão, cravo, suco;14,1;0,33;0;5,25
Limão, galego, suco;22,23;0,57;0,07;7,32
Limão, tahiti, cru;31,82;0,94;0,14;11,08
Maçã, Argentina, com casca, crua;62,53;0,23;0,25;16,59
Maçã, Fuji, com casca, crua;55,52;0,29;0;15,15
Macaúba, crua;404,28;2,08;40,66;13,95
 Mamão, doce em calda, drenado;195,63;0,19;0,07;54
Mamão, Formosa, cru;45,34;0,82;0,12;11,55
Mamão, Papaia, cru;40,16;0,46;0,12;10,44
 Mamão verde, doce em calda, drenado;209,38;0,32;0,1;57,64
Manga, Haden, crua;63,5;0,41;0,26;16,66
Manga, Palmer, crua;72,49;0,41;0,17;19,35
Manga, polpa, congelada;48,31;0,38;0,23;12,52
Manga, Tommy Atkins, crua;50,69;0,86;0,22;12,77
Maracujá, cru;68,44;1,99;2,1;12,26
Maracujá, polpa, congelada;38,76;0,81;0,18;9,6
Maracujá, suco concentrado, envasado;41,97;0,77;0,19;9,64
Melancia, crua;32,61;0,88;0;8,14
Melão, cru;29,37;0,68;0;7,53
Mexerica, Murcote, crua;57,59;0,88;0,13;14,86
Mexerica, Rio, crua;36,87;0,65;0,13;9,34
Morango, cru;30,15;0,89;0,31;6,82
Nêspera, crua;42,54;0,31;0;11,53
Pequi, cru;204,97;2,34;17,97;12,97
Pêra, Park, crua;60,59;0,24;0,23;16,07
Pêra, Williams, crua;53,31;0,57;0,11;14,02
Pêssego, Aurora, cru;36,33;0,83;0;9,32
Pêssego, enlatado, em calda;63,14;0,71;0;16,88
Pinha, crua;88,47;1,49;0,32;22,45
Pitanga, crua;41,42;0,93;0,17;10,24
Pitanga, polpa, congelada;19,11;0,29;0,12;4,76
Romã, crua;55,74;0,4;0;15,11
Tamarindo, cru;275,7;3,21;0,46;72,53
Tangerina, Poncã, crua;37,83;0,85;0,07;9,61
Tangerina, Poncã, suco;36,11;0,52;0;8,8
Tucumã, cru;262,02;2,09;19,08;26,47
Umbu, cru;37,02;0,84;0;9,4
Umbu, polpa, congelada;33,94;0,51;0,07;8,79
Uva, Itália, crua;52,87;0,75;0,2;13,57
Uva, Rubi, crua;49,06;0,61;0,16;12,7
Uva, suco concentrado, envasado;57,66;0;0;14,71
Azeite, de dendê;884;0;100;0
Azeite, de oliva, extra virgem;884;0;100;0
Manteiga, com sal;725,97;0,41;82,36;0,06
Manteiga, sem sal;757,54;0,4;86,04;0
Margarina, com óleo hidrogenado, com sal (65% de lipídeos);596,12;0;67,43;0
Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);722,53;0;81,73;0
Margarina, com óleo interesterificado, com sal (65%de lipídeos);594,45;0;67,25;0
Margarina, com óleo interesterificado, sem sal (65% de lipídeos);593,14;0;67,1;0
Óleo, de babaçu;884;0;100;0
Óleo, de canola;884;0;100;0
Óleo, de girassol;884;0;100;0
Óleo, de milho;884;0;100;0
Óleo, de pequi;884;0;100;0
Óleo, de soja;884;0;100;0
Abadejo, filé, congelado, assado;111,62;23,53;1,24;0
Abadejo, filé, congelado,cozido;91,1;19,35;0,94;0
Abadejo, filé, congelado, cru;59,11;13,08;0,36;0
Abadejo, filé, congelado, grelhado;129,64;27,61;1,3;0
Atum, conserva em óleo;165,91;26,19;6;0
Atum, fresco, cru;117,5;25,68;0,87;0
Bacalhau, salgado, cru;135,89;29,04;1,32;0
Bacalhau, salgado, refogado;139,66;23,98;3,61;1,22
Cação, posta, com farinha de trigo, frita;208,33;24,95;9,95;3,1
Cação, posta, cozida;116,01;25,59;0,75;0
Cação, posta, crua;83,33;17,85;0,79;0
Camarão, Rio Grande, grande, cozido;90,01;18,97;1;0
Camarão, Rio Grande, grande, cru;47,18;9,99;0,5;0
Camarão, Sete Barbas, sem cabeça, com casca, frito;231,25;18,39;15,62;2,88
Caranguejo, cozido;82,72;18,48;0,42;0
Corimba, cru;128,16;17,37;5,99;-0,03
Corimbatá, assado;261,45;19,9;19,57;0
Corimbatá, cozido;238,7;20,13;16,93;0
Corvina de água doce, crua;101,01;18,92;2,24;0
Corvina do mar, crua;94;18,57;1,58;0
Corvina grande, assada;146,53;26,77;3,57;0
Corvina grande, cozida;100,08;23,44;2,56;0
Dourada de água doce, fresca;131,21;18,81;5,64;0
Lambari, congelado, cru;130,84;16,81;6,55;0
Lambari, congelado, frito;326,87;28,43;22,78;0
Lambari, fresco, cru;151,6;15,65;9,4;0
Manjuba, com farinha de trigo, frita;343,55;23,45;22,59;10,24
Manjuba, frita;349,33;30,14;24,46;0
Merluza, filé, assado;121,91;26,6;0,92;0
Merluza, filé, cru;89,13;16,61;2,02;0
Merluza, filé, frito;191,63;26,93;8,5;0
Pescada, branca, crua;110,88;16,26;4,59;0
Pescada, branca, frita;223,04;27,36;11,78;0
Pescada, filé, com farinha de trigo, frito;283,43;21,44;19,12;5,03
Pescada, filé, cru;107,21;16,65;4;0
Pescada, filé, frito;154,27;28,59;3,57;0
Pescada, filé, molho escabeche;141,96;11,75;8,02;5,02
Pescadinha, crua;76,41;15,48;1,14;0
Pintado, assado;191,56;36,45;3,98;0
Pintado, cru;91,08;18,56;1,31;0
Pintado, grelhado;152,19;30,8;2,29;0
Porquinho, cru;93,02;20,49;0,61;0
Salmão, filé, com pele, fresco,  grelhado;228,73;23,92;14,04;0
Salmão, sem pele, fresco, cru;169,78;19,25;9,71;0
Salmão, sem pele, fresco, grelhado;242,71;26,14;14,53;0
Sardinha, assada;164,35;32,18;2,99;0
Sardinha, conserva em óleo;284,98;15,94;24,05;0
Sardinha, frita;257,04;33,38;12,69;0
Sardinha, inteira, crua;113,9;21,08;2,65;0
Tucunaré, filé, congelado, cru;87,69;17,96;1,22;-0,05
Apresuntado;128,86;13,45;6,69;2,86
Caldo de carne, tablete;240,62;7,82;16,57;15,05
Caldo de galinha, tablete;251,45;6,28;20,42;10,65
Carne, bovina, acém, moído, cozido;212,42;26,69;10,92;0
Carne, bovina, acém, moído, cru;136,56;19,42;5,95;0
Carne, bovina, acém, sem gordura, cozido;214,61;27,27;10,88;0
Carne, bovina, acém, sem gordura, cru;144,03;20,82;6,11;0
Carne, bovina, almôndegas, cruas;189,26;12,31;11,2;9,79
Carne, bovina, almôndegas, fritas;271,81;18,16;15,78;14,29
Carne, bovina, bucho, cozido;133,02;21,64;4,5;0
Carne, bovina, bucho, cru;137,3;20,53;5,5;0
Carne, bovina, capa de contra-filé, com gordura, crua;216,91;19,2;14,96;0
Carne, bovina, capa de contra-filé, com gordura, grelhada;311,7;30,69;20,03;0
Carne, bovina, capa de contra-filé, sem gordura, crua;131,06;21,54;4,33;0
Carne, bovina, capa de contra-filé, sem gordura, grelhada;239,44;35,06;9,95;-0,01
Carne, bovina, charque, cozido;262,78;36,36;11,92;0
Carne, bovina, charque, cru;248,86;22,71;16,84;0
Carne, bovina, contra-filé, à milanesa;351,59;20,61;24;12,17
Carne, bovina, contra-filé de costela, cru;202,44;19,8;13,07;0
Carne, bovina, contra-filé de costela, grelhado;274,91;29,88;16,33;0
Carne, bovina, contra-filé, com gordura, cru;205,86;21,15;12,81;0
Carne, bovina, contra-filé, com gordura, grelhado;278,05;32,4;15,49;0
Carne, bovina, contra-filé, sem gordura, cru;156,62;24;6;0
Carne, bovina, contra-filé, sem gordura, grelhado;193,69;35,88;4,49;0
Carne, bovina, costela, assada;373,04;28,81;27,72;0
Carne, bovina, costela, crua;357,72;16,71;31,75;0
Carne, bovina, coxão duro, sem gordura, cozido;216,62;31,88;8,92;0
Carne, bovina, coxão duro, sem gordura, cru;147,97;21,51;6,22;0
Carne, bovina, coxão mole, sem gordura, cozido;218,68;32,38;8,91;0
Carne, bovina, coxão mole, sem gordura, cru;169,07;21,23;8,69;0
Carne, bovina, cupim, assado;330,1;28,63;23,04;0
Carne, bovina, cupim, cru;221,4;19,54;15,3;0
Carne, bovina, fígado, cru;141,05;20,71;5,36;1,11
Carne, bovina, fígado, grelhado;225,03;29,86;9,01;4,2
Carne, bovina, filé mingnon, sem gordura, cru;142,86;21,6;5,61;0
Carne, bovina, filé mingnon, sem gordura, grelhado;219,7;32,8;8,83;0
Carne, bovina, flanco, sem gordura, cozido;195,58;29,38;7,77;0
Carne, bovina, flanco, sem gordura, cru;141,46;20;6,22;0
Carne, bovina, fraldinha, com gordura, cozida;338,45;24,24;26,05;0
Carne, bovina, fraldinha, com gordura, crua;220,72;17,58;16,15;0
Carne, bovina, lagarto, cozido;222,47;32,86;9,11;0
