Descrição do Alimento;Energia(kcal);Proteína(g);Lipídeos(g);Carboidrato(g)
Ovo, de galinha, inteiro, cru;143,11;13,03;8,9;1,64
Ovo, de galinha, inteiro, frito;240,19;15,62;18,59;1,19
Achocolatado, pó;401,02;4,2;2,17;91,18
Açúcar, cristal;386,85;0,32;Tr;99,61
Açúcar, mascavo;368,55;0,76;0,09;94,45
Açúcar, refinado;386,57;0,32;Tr;99,54
Chocolate, ao leite;539,59;7,22;30,27;59,58
Chocolate, ao leite, com castanha do Pará;558,88;7,41;34,19;55,38
Chocolate, ao leite, dietético;556,82;6,9;33,77;56,32
Chocolate, meio amargo;474,92;4,86;29,86;62,42
Cocada branca;448,85;1,12;13,59;81,38
Doce, de abóbora, cremoso;198,94;0,92;0,21;54,61
Doce, de leite, cremoso;306,31;5,48;5,99;59,49
Geléia, mocotó, natural;106,09;2,13;0,07;24,23
Glicose de milho;292,12;0;0;79,38
Maria mole;301,24;3,81;0,19;73,55
Maria mole, coco queimado;306,63;3,93;0,09;75,06
Marmelada;257,24;0,4;0,14;70,76
Mel, de abelha;309,24;0;0;84,03
Melado;296,51;0;0;76,62
Quindim;411,35;4,74;24,43;46,3
Rapadura;351,96;0,99;0,07;90,79
Café, pó, torrado;418,62;14,7;11,95;65,75
Capuccino, pó;417,41;11,31;8,63;73,61
Fermento em pó, químico;89,72;0,48;0,07;43,91
Fermento, biológico, levedura, tablete;89,79;16,96;1,52;7,7
Gelatina, sabores variados, pó;380,22;8,89;Tr;89,22
Sal, dietético;0;0;0;0
Sal, grosso;0;0;0;0
Shoyu;60,93;3,31;0,33;11,65
Tempero a base de sal;21,33;2,67;0,26;2,07
Azeitona, preta, conserva;194,15;1,16;20,35;5,54
Azeitona, verde, conserva;136,94;0,95;14,22;4,1
Chantilly, spray, com gordura vegetal;314,96;0,53;27,27;16,86
Leite, de coco;166,16;1,01;18,36;2,19
Maionese, tradicional com ovos;302,15;0,58;30,5;7,9
Acarajé;289,21;8,35;19,93;19,11
Arroz carreteiro;153,77;10,83;7,12;11,58
Baião de dois, arroz e feijão-de-corda;135,68;6,24;3,23;20,42
Barreado;164,98;18,27;9,53;0,24
Bife à cavalo, com contra filé;291,23;23,66;21,15;0
Bolinho de arroz;273,51;8,04;8,29;41,68
Camarão à baiana;100,78;7,94;5,97;3,17
Charuto, de repolho;78,23;6,78;1,12;10,13
Cuscuz, de milho, cozido com sal;113,46;2,16;0,68;25,28
Cuscuz, paulista;142,12;2,56;4,65;22,51
Cuxá, molho;80,09;5,64;3,59;5,74
Dobradinha;124,5;19,77;4,44;0
Estrogonofe de carne;173,14;15,03;10,8;2,98
Estrogonofe de frango;156,81;17,55;7,96;2,59
Feijão tropeiro mineiro;151,56;10,17;6,79;19,58
Feijoada;116,93;8,67;6,48;11,64
Frango, com açafrão;112,78;9,7;6,17;4,06
Macarrão, molho bolognesa;119,53;4,93;0,89;22,52
Maniçoba;134,22;9,96;8,7;3,42
Quibebe;86,35;8,56;2,67;6,64
Salada, de legumes, com maionese;96,1;1,05;7,04;8,92
Salada, de legumes, cozida no vapor;35,41;2,01;0,31;7,09
Salpicão, de frango;147,86;13,93;7,84;4,57
Sarapatel;122,98;18,47;4,42;1,09
Tabule;57,45;2,05;1,21;10,58
Tacacá;46,89;6,96;0,36;3,39
Tapioca, com manteiga;347,83;0,09;10,91;63,59
Tucupi, com pimenta-de-cheiro;27,18;2,06;0,28;4,74
Vaca atolada;144,9;5,12;9,32;10,06
Vatapá;254,89;6;23,23;9,75
Virado à paulista;306,95;10,18;25,59;14,11
Yakisoba;112,8;7,52;2,61;18,25
Amendoim, grão, cru;544,05;27,19;43,85;20,31
Amendoim, torrado, salgado;605,78;22,48;53,96;18,7
Ervilha, em vagem;88,09;7,45;0,47;14,23
Ervilha, enlatada, drenada;73,84;4,6;0,38;13,44
Feijão, carioca, cozido;76,42;4,78;0,54;13,59
Feijão, carioca, cru;329,03;19,98;1,26;61,22
Feijão, fradinho, cozido;78,01;5,09;0,64;13,5
Feijão, fradinho, cru;339,16;20,21;2,37;61,24
Feijão, jalo, cozido;92,74;6,14;0,51;16,5
Feijão, jalo, cru;327,91;20,1;0,95;61,48
Feijão, preto, cozido;77,03;4,48;0,54;14,01
Feijão, preto, cru;323,57;21,34;1,24;58,75
Feijão, rajado, cozido;84,7;5,54;0,4;15,27
Feijão, rajado, cru;325,84;17,27;1,17;62,93
Feijão, rosinha, cozido;67,87;4,54;0,48;11,82
Feijão, rosinha, cru;336,96;20,92;1,33;62,22
Feijão, roxo, cozido;76,89;5,72;0,54;12,91
Feijão, roxo, cru;331,41;22,17;1,24;59,99
Grão-de-bico, cru;354,7;21,23;5,43;57,88
Guandu, cru;344,13;18,96;2,13;64
Lentilha, cozida;92,64;6,31;0,52;16,3
Lentilha, crua;339,14;23,15;0,77;62
Paçoca, amendoim;486,93;16;26,08;52,38
Pé-de-moleque, amendoim;503,19;13,16;28,05;54,73
Soja, farinha;403,96;36,03;14,63;38,44
Soja, extrato solúvel, natural, fluido;39,1;2,38;1,61;4,28
Soja, extrato solúvel, pó;458,9;35,69;26,18;28,48
Soja, queijo (tofu);64,49;6,55;3,95;2,13
Tremoço, cru;381,28;33,58;10,34;43,79
Tremoço, em conserva;120,64;11,11;3,78;12,39
Amêndoa, torrada, salgada;580,75;18,55;47,32;29,55
Castanha-de-caju, torrada, salgada;570,17;18,51;46,28;29,13
Castanha-do-Brasil, crua;642,96;14,54;63,46;15,08
Coco, cru;406,49;3,69;41,98;10,4
Coco,  verde, cru;0;0;0;0
Farinha, de mesocarpo de babaçu, crua;328,77;1,41;0,2;79,17
Gergelim, semente;583,55;21,16;50,43;21,62
Linhaça, semente;495,1;14,08;32,25;43,31
Pinhão, cozido;174,37;2,98;0,75;43,92
Pupunha, cozida;218,53;2,52;12,76;29,57
Noz, crua;620,06;13,97;59,36;18,36
