nome,proteina,carbo,gordura,calorias,fonte
"Tangerina, Poncã, suco",0.5217391304347826,8.8,0.0,36.10879999999999,TACO
"Tucumã, cru",2.09375,26.47458333333333,19.076666666666668,262.01519507239266,TACO
"Umbu, cru",0.8416666666666668,9.395333333333333,0.0,37.016689999999976,TACO
"Umbu, polpa, congelada",0.5125,8.78683333333333,0.07033333333333334,33.943290000000005,TACO
"Uva, Itália, crua",0.7463768115942029,13.573333333333345,0.20333333333333334,52.873100000000065,TACO
"Uva, Rubi, crua",0.6083333333333333,12.69533333333333,0.157,49.061289999999964,TACO
"Uva, suco concentrado, envasado",0.0,14.708000000000002,0.0,57.655359999999995,TACO
"Azeite, de dendê",0.0,0.0,100.0,884.0,TACO
"Azeite, de oliva, extra virgem",0.0,0.0,100.0,884.0,TACO
"Manteiga, com sal",0.4147000074386597,0.0632999925613329,82.361,725.9689268459988,TACO
"Manteiga, sem sal",0.3955600070953369,0.0,86.03933333333333,757.5404607259967,TACO
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",0.0,0.0,67.43433333333334,596.1195169563294,TACO
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",0.0,0.0,81.73366666666665,722.525625804901,TACO
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",0.0,0.0,67.24566666666665,594.4516933333332,TACO
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",0.0,0.0,67.097,593.1374902381897,TACO
"Óleo, de babaçu",0.0,0.0,100.0,884.0,TACO
"Óleo, de canola",0.0,0.0,100.0,884.0,TACO
"Óleo, de girassol",0.0,0.0,100.0,884.0,TACO
"Óleo, de milho",0.0,0.0,100.0,884.0,TACO
"Óleo, de pequi",0.0,0.0,100.0,884.0,TACO
"Óleo, de soja",0.0,0.0,100.0,884.0,TACO
"Abadejo, filé, congelado, assado",23.525,0.0,1.2376666666666667,111.6155034511884,TACO
"Abadejo, filé, congelado,cozido",19.34583333333333,0.0,0.9420000000000001,91.10354839555423,TACO
"Abadejo, filé, congelado, cru",13.083333333333332,0.0,0.36,59.11303324858347,TACO
"Abadejo, filé, congelado, grelhado",27.610416666666666,0.0,1.3023333333333333,129.6435259028673,TACO
"Atum, conserva em óleo",26.1875,0.0,5.996666666666666,165.91056057890256,TACO
"Atum, fresco, cru",25.68,0.0,0.87,117.50099999999998,TACO
"Bacalhau, salgado, cru",29.036666666666665,0.0,1.32,135.89296666666664,TACO
